maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,mean_FFT_X,max_FFT_X,std_FFT_X,class
92.5,459,0.473797420887883,0,0,54.7520361699187,6.37818730288517,6.15129548830512,150.98512070926,6.15096153340073,5.49856109461622,7.08711176257011,42.0276482836384,9.76660733815803,1
58,58,0.8152689720912,1,0,14.0143684709314,4.50647132042509,4.16848977527346,181.23634641439,6.05080067497165,5.34700850883219,3.58743783122119,27.9996578474233,5.68894147487017,1
87.5,563,0.361019316599492,0,0,52.6879745099365,6.43682658317635,6.27550619336539,94.3081616055632,6.17892455252084,5.48462510045347,7.88372856286986,49.3374724331639,11.3295695104622,1
44,302,0.322690410916776,0,0,48.4933363332299,6.45617746150371,6.25976791508846,140.180503910952,6.20030559789939,5.55964163543342,7.1040769763049,50.517915017249,10.533381792552,1
63,234,0.317694637189365,0,1,55.9201741226193,6.35449835501982,6.13425782220933,134.344463525278,6.20634488710279,5.51117316320358,6.79285026430186,58.9183255782542,11.4148341414795,1
78,159,0.682347810670772,0,1,53.0684418278215,5.94388408240235,5.52432208859337,228.579840277568,6.29267999698894,5.87790052500353,12.550767089162,62.624745871627,17.1882312633427,0
41,120,0.599389052354943,0,0,29.0276358909254,5.87647487365401,5.31060341857608,79.2980160410473,6.14085492845252,5.33221422783758,9.95512543619104,56.4079323760895,14.2120280592499,0
25.5,338.5,0.434135031257537,0,1,64.1518888860166,6.43024468617714,6.18236634122849,95.1023633685953,6.09515635154905,5.22067869691915,6.20803187386195,35.2506486880375,8.75765990937693,0
39,81,0.602099753417505,0,0,23.4205173358643,6.10899469650136,5.50507010326775,125.939009025934,6.06338034436861,5.17815332783733,12.132891448937,66.7568857341077,17.4762508229224,0
23,37,0.318868905022912,0,0,44.947333684295,5.75048943653598,5.03987428103437,375.505089108246,6.27493679783044,6.00068857318691,4.70391932829764,32.5837743601352,6.53562834317652,0
124,356,0.465159982864716,0,1,50.4387987297202,6.39164746122475,6.24733709572261,110.344059918443,6.13501306179123,5.31879581525014,6.60982070362522,48.7674830704627,9.82601161972504,0
88,195.5,0.550779886915249,0,0,50.4879497955938,6.405258039558,6.11565291225099,365.318428408964,6.30302070755525,6.02085899453208,7.48623344900796,54.2184605897906,11.1399553994677,0
39,39,0.598556802190892,1,0,20.3703580066411,4.88111666885854,4.40106042736712,169.960195424772,5.94052370259727,5.25298143446286,16.3684231409972,114.603155265638,25.5737666488936,0
