maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,mean_FFT_X,max_FFT_X,std_FFT_X,class
12,12,0.834075701979991,1,1,100,3.25876705844433,2.94628151443077,14.1495072978338,4.77359644269084,3.08696525434031,6.21545552538218,81.8483687142273,12.9695187350665,1
18,18,0.830433880259384,1,1,100,3.73240966154078,3.18964787511883,35.6370116062165,5.02959125776496,3.82413037268531,2.46063226684595,27.0533087814109,5.21319622459068,1
12,12,0.829840320876636,1,1,100,2.95344922873374,2.75537038738666,11.744343869646,4.1064093595984,2.75021932614588,3.5029200033178,183.53500516144,16.6931479485271,1
36,147,0.164658547276816,0,1,70.3606341912677,6.01907608454068,5.62943418405182,57.0573771028829,6.06073811895464,5.18639574995092,6.55782854451228,56.6262851123339,10.1389482653997,0
12,153,0.382633898958013,0,1,66.8657436760023,6.30121191446464,5.99398625952384,63.2826151091571,6.10314104800655,5.02949551151363,8.4306941361141,58.0591925654291,11.5187971618124,0
52,52,0.56221710347077,1,0,66.736639165337,5.87390931519565,5.66691175412584,73.0647285000781,6.18535202707479,5.44232893953092,13.4827357270443,78.7985079104569,16.5295963575233,0
16,70,0.427724939435806,0,1,50.3496698171605,6.20775492648438,5.87011669331137,43.6444631508667,6.14708398252547,5.4415229675541,7.56248350880715,90.0950860061712,12.5751482098685,0
37.5,120.5,0.263620280045861,0,1,89.8261339943016,5.70345082403542,5.29844777530554,96.4245165922869,5.95282359716717,5.05693750729697,7.19437095387156,49.9549358659442,10.5240174216325,0
24,380,0.313087505386562,0,0,46.9097568272374,6.27246808428976,6.04084372863201,93.3145457983566,6.08196984839823,5.18804849364765,8.74000941243621,64.5740514713305,12.0795315167971,0
19.5,140,0.167362479587924,0,0,55.0695572256374,5.91202674024866,5.68894571071771,160.148724866187,6.19715186613703,5.59433170269827,9.15413520847709,79.8928788393251,13.2250951850411,0
27,27,0.729507658489078,1,1,100,4.3754342601665,3.85712886161678,53.5299435022656,5.87201128666924,4.65858806626525,9.32642657614821,156.920312072765,20.4101068223608,0
