maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,mean_FFT_X,max_FFT_X,std_FFT_X,class
12,12,0.829366059524164,1,0,44.8505527109348,4.42562954529785,3.55375257251156,127.74984487864,6.00132072979851,5.20553999320735,2.45932524167321,18.8741120271451,4.01124945463791,1
34,34,0.46289292835047,1,1,76.4609270098508,5.86634339860904,5.33640506522015,288.279515931693,6.18480045978236,5.7559238571096,5.66819231556867,49.9454779016009,8.35036510597672,1
24,24,0.78737460795057,1,1,100,4.12514997443152,3.78075899133517,32.1415279446146,5.02509227119022,3.58850208104853,3.37481200328979,32.6721268759739,5.81103081774768,1
18,18,0.840932482369544,1,1,100,3.91125714135895,3.34896245703296,302.781833151241,5.92608509616708,5.72031463200442,1.2240356903705,6.41751164712831,1.61413285189685,1
15,15,0.836946079790446,1,1,100,4.26789529323773,3.65682659842513,296.718948456018,6.02558079505237,5.74246347525818,2.02757620438519,11.0186386512112,2.66642282431551,1
32,32,0.591430301344869,1,1,84.4932146723175,5.9095982862906,5.28566586113183,67.23233388947,6.10291751690393,5.19787683620349,6.40504417474696,52.4361237177958,9.84569982101272,0
44.5,736.5,0.402410604275769,0,0,51.8954171100343,6.4036174468501,6.24692660029219,85.8313231809211,6.20934245500919,5.45404112752331,10.9653244215602,61.2257258636796,14.2694277418714,0
33.5,417,0.317324920523074,0,0,70.6066014310907,6.3835618007196,6.13081616668382,93.4107866805208,6.1146593672811,5.2714490013889,7.92636400268637,57.3280714845528,11.2592216361783,0
27,374.5,0.515133375399552,0,0,46.7141056989669,6.47616642099171,6.31663522544644,133.418994783078,6.18404149173194,5.48947378612578,8.56119266477889,83.1834511098462,12.8413598836078,0
21.5,125.5,0.268393496413934,0,0,74.5951895815598,6.37296532566688,5.93479999970564,75.038189805548,6.16355488542177,5.12968974024496,8.6908571425118,80.6453761698242,15.6873877612466,0
32,96.5,0.25665475628451,0,0,30.3300267334169,5.78895783453721,5.39831167957822,187.724523151954,6.07123303700786,5.44769872349393,3.43847088051803,24.3402447747349,4.7816956395734,0
25,100.5,0.353095351598978,0,1,65.154013927742,6.34262062728026,6.06218506811399,79.9462172275849,6.22511431276623,5.63730917620065,9.45496453196215,55.6238672143482,11.8796242184296,0
20,20,0.803175040124408,1,1,100,3.63557445684421,3.33618931016513,37.4968762065806,5.63735769585242,4.37240568127072,7.83145080493033,140.274969416134,16.043889089371,0
