,Features,rof,r15of,r30of,r45of,r60of,total
0,maxArea,0.0018940008279020335,0.06311842472918724,0.008360374324621774,0.07993783771611235,0.016832248616646988,0.012121212121212121
1,totalArea,0.0019170134510058958,0.050341310492682034,0.008360374324621774,0.018633605354171415,0.01702628868702467,0.012121212121212121
2,ellipse_similarity_ratio,0.002664002664002664,0.08484848484848484,0.01616161616161616,0.012121212121212121,0.00808080808080808,0.012121212121212121
3,power46,0.00785478297255957,0.050341310492682034,0.04918535134755064,0.050341310492682034,0.024602777070685214,0.048484848484848485
4,bspecEn12h8,0.002664002664002664,0.012121212121212121,0.01616161616161616,0.012121212121212121,0.00808080808080808,0.012121212121212121
5,bspecEn22h8,0.001332001332001332,0.012121212121212121,0.00808080808080808,0.012121212121212121,0.00808080808080808,0.012121212121212121
6,totalBic2h8,0.002664002664002664,0.012121212121212121,0.00808080808080808,0.012121212121212121,0.00404040404040404,0.012121212121212121
7,bicEn12h8,0.000666000666000666,0.012121212121212121,0.00404040404040404,0.012121212121212121,0.00404040404040404,0.012121212121212121
8,bicEn22h8,0.004662004662004662,0.012121212121212121,0.00404040404040404,0.012121212121212121,0.00808080808080808,0.012121212121212121
