,Features,HAT/LAT,Med,DBS
0,maxArea,0.20221587773057706,0.02763127727123171,0.5779114018734219
1,totalArea,0.0957620475271867,0.03041989711927151,0.6737912171790945
2,ellipse_similarity_ratio,0.01587497203839692,0.1710995944269376,0.2743361204329823
3,power46,0.05060477203059027,0.00021699764071389792,0.7396798546875905
4,bspecEn12h8,0.0005597555319448857,0.016637219203683586,0.7369432859650122
5,bspecEn22h8,0.0005388382418731813,0.019979292457881624,0.8953369244958593
6,totalBic2h8,0.30715545655504484,0.6051119418779685,0.7210330038919894
7,bicEn12h8,0.0030199564240766083,0.02722728187463874,0.23348048949608824
8,bicEn22h8,0.009204653787221389,0.028437667089494273,0.24255756759402036
