,Features,Med,DBS
0,maxArea,0.0051170170687054395,0.10152888489180269
1,totalArea,0.0009068567509923489,0.3706183398171955
2,ellipse_similarity_ratio,0.0029526029526029526,0.7984459984459983
3,power46,0.0008598969101507296,0.5255516528137945
4,bspecEn12h8,0.0010878010878010878,0.2786324786324786
5,bspecEn22h8,0.0010878010878010878,0.2786324786324786
6,totalBic2h8,0.4418026418026417,0.010411810411810413
7,bicEn12h8,0.006993006993006993,0.10489510489510488
8,bicEn22h8,0.4418026418026417,0.006993006993006993
