diagBicEn28,maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,class
0.46859950572657877,13.0,13.0,0.7797269957965348,1.0,1.0,91.18950034798341,3.575241873415602,3.2184698728608887,16.351786388690147,4.326501686078929,2.619381445481096,1.0
0.678835874247981,15.9,15.9,0.7015698849623935,1.0,1.0,99.8749286823327,3.9116396832970843,3.461366043360974,25.007139852005906,4.975628397926868,3.6031186742674883,1.0
0.3152757389282218,12.0,12.0,0.8344042886352556,1.0,1.0,100.0,3.0187211978472277,2.794149804912112,14.839149740128457,4.323687665168954,2.8187878277650675,1.0
1.356320908000182,36.5,151.4,0.3339249235437802,0.0,0.8,76.9771314049461,5.766656480935213,5.3982771912084875,60.147463224090664,6.086993241712809,5.187671312762822,0.0
1.5474040939693199,21.7,79.0,0.39886446207630366,0.4,0.6,43.66997487275194,5.995061656866445,5.662272253844162,84.80949027423307,6.14776857803195,5.226490955219564,0.0
1.51697268690246,62.7,350.9,0.38106993916492093,0.2,0.0,42.72982315630842,6.174456575165318,5.937145440553586,91.12529212690906,6.148226677780135,5.4073574023684445,0.0
1.1545542921754286,47.4,218.3,0.38712663728819524,0.2,0.2,36.521209267264084,6.129667975701846,5.781568501544316,224.25720549486286,6.198198927620792,5.586873969533618,0.0
1.409408488764569,58.5,300.7,0.31102207892821704,0.2,0.6,49.43101670703389,6.157997892876437,5.826465965825188,130.60837767014084,6.077932300455447,5.29339484046018,0.0
1.6540060682148798,28.0,399.4,0.33437113181486955,0.0,0.2,39.53076395651722,6.331049292551278,6.125152834436566,87.20755177168942,6.148679696356749,5.338694606758618,0.0
1.6819878244132318,37.0,270.3,0.27372332104040636,0.2,0.2,35.535252173371774,6.205824801177746,5.971415966226866,131.99323548047664,6.185071994122576,5.516832373298039,0.0
0.9312835322307554,23.4,27.0,0.681383655486664,0.8,1.0,99.95148179351142,3.971529853414028,3.554079719228708,35.85349749307146,5.535841995567109,4.081911134529912,0.0
