diagBicEn28,maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,class
1.35885345966822,92.5,453.5,0.473797420887883,0,0,44.2274023460965,6.37818730288518,6.15129548830513,150.985120709259,6.15096153340074,5.49856109461622,1
1.19224232279524,58,58,0.815268972091201,1,0,14.0143684709314,4.5064713204251,4.1684897752735,181.236346414389,6.05080067497166,5.34700850883218,1
1.73019912654985,87.5,563,0.361019316599492,0,0,36.9900567955035,6.43682658317636,6.27550619336539,94.3081616055632,6.17892455252084,5.48462510045347,1
1.54209725065875,40,302,0.322690410916777,0,0,38.1398744256738,6.45617746150371,6.25976791508847,140.180503910952,6.2003055978994,5.55964163543342,1
1.500927465378,63,234,0.323638367967291,0,1,42.3585333621825,6.35449835501984,6.13425782220934,134.344463525278,6.20634488710279,5.51117316320358,1
1.26295217767475,78,159,0.682347810670773,0,1,51.7640464088147,5.94388408240235,5.52432208859336,228.579840277568,6.29267999698894,5.87790052500353,0
1.66879073366979,41,130,0.59955157778267,0,0,24.4516898837561,5.87647487365403,5.31060341857607,79.2980160410472,6.14085492845252,5.33221422783759,0
1.35611568475285,25.5,338.5,0.434135031257538,0,1,45.3593952531427,6.43024468617714,6.18236634122849,95.1023633685951,6.09515635154906,5.22067869691915,0
1.41429340433455,21,63,0.602099753417504,0,0,19.8748509087722,6.10899469650136,5.50507010326776,125.939009025934,6.06338034436858,5.17815332783733,0
1.02038863835189,23,37,0.318868905022913,0,0,40.2443328830411,5.75048943653599,5.03987428103439,375.505089108246,6.27493679783044,6.00068857318692,0
1.57799276926308,124,356,0.465159982864717,0,1,37.1618788885509,6.39164746122474,6.24733709572261,110.344059918443,6.13501306179124,5.31879581525014,0
0.744969072886453,88,207.5,0.550779886915249,0,0,41.5251381828727,6.40525803955799,6.11565291225099,365.318428408964,6.30302070755525,6.02085899453209,0
1.12354725402338,39,39,0.59855680219089,1,0,20.370358006641,4.88111666885856,4.40106042736714,169.960195424773,5.94052370259726,5.25298143446287,0
