diagBicEn28,maxArea,ellipse_similarity_ratio,noPeaks,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,Class
0.944070201128319,20.0,0.571993299347919,1.0,68.1710445138545,5.03704782087792,4.49387347036171,47.9828593115066,1.0
0.766341166166319,6.5,0.495422503190128,1.0,99.7074032150082,4.33188088197656,3.85581164802558,23.7698619107096,1.0
0.468065755883704,12.0,0.852370645337392,1.0,100.0,3.13522957250149,2.86376023867033,36.0091961657028,1.0
0.207797684794485,12.0,0.825762661912035,1.0,100.0,3.02326351171302,2.80297290372116,9.00753676603798,1.0
1.52371428452944,63.0,0.47967318570325,0.0,94.5024907204434,5.52056896944351,5.10917023128251,80.6969827682639,0.0
1.94212377401331,27.0,0.349877262907227,0.0,26.7143816322643,5.7218972506405,5.19203751950121,85.4010878019962,0.0
1.48675041944344,49.0,0.403790376900654,0.0,45.5020754413445,6.30712032494999,5.99992488949452,82.7168539060275,0.0
1.54458850851676,56.0,0.206675636845466,0.0,49.4706616772135,5.89890007315512,5.49505162928353,99.0633508751386,0.0
1.25048162507645,65.0,0.276466218588745,0.0,28.1980448343281,6.24560702667837,6.01934488438958,49.7277341559727,0.0
1.8994033359315,30.0,0.326780116442848,0.0,27.2054223531915,6.46108242440703,6.25282067252588,125.858754562001,0.0
1.6827656054689,20.5,0.213811577626736,0.0,30.5570868479922,6.14650230132385,5.87668966753417,71.2617872968662,0.0
1.16820320699439,35.0,0.711354540001913,1.0,100.0,4.28862930715195,3.90197454796483,37.9145959606762,1.0
